call_id,customer_id,call_date,disposition,call_handler
1,1,1/1/25 0:56,Voicemail,NA
2,1,1/4/25 0:21,Voicemail,NA
3,2,1/1/25 2:31,Voicemail,NA
4,2,1/3/25 15:50,Voicemail,NA
5,2,1/4/25 12:45,Talked to Customer,Vivian
6,3,1/1/25 3:19,Voicemail,NA
7,3,1/2/25 15:09,Talked to Customer,Geoffrey
8,3,1/3/25 9:13,Voicemail,NA
9,3,1/5/25 14:00,Talked to Customer,Carlton
10,4,1/1/25 4:44,Voicemail,NA
11,4,1/5/25 15:52,Talked to Customer,Phil
12,4,1/9/25 23:46,Voicemail,NA
13,4,1/13/25 2:36,Voicemail,NA
14,5,1/1/25 5:36,Disconnected,NA
15,5,1/5/25 9:19,Talked to Customer,Phil
16,5,1/6/25 1:01,Voicemail,NA
17,6,1/1/25 6:18,Talked to Customer,Phil
18,6,1/1/25 21:51,Voicemail,NA
19,6,1/3/25 6:26,Voicemail,NA
20,6,1/7/25 21:24,Talked to Customer,Hillary
21,6,1/11/25 20:36,Disconnected,NA
22,7,1/1/25 6:21,Talked to Customer,Carlton
23,7,1/5/25 6:22,Voicemail,NA
24,7,1/5/25 20:40,Talked to Customer,Carlton
25,7,1/9/25 22:21,Voicemail,NA
26,7,1/13/25 13:01,Talked to Customer,Phil
27,8,1/1/25 7:05,Voicemail,NA
28,8,1/3/25 22:46,Voicemail,NA
29,8,1/5/25 5:35,Voicemail,NA
30,9,1/1/25 7:08,Disconnected,NA
31,9,1/2/25 22:13,Voicemail,NA
32,9,1/7/25 15:03,Disconnected,NA
33,9,1/8/25 8:17,Voicemail,NA
34,10,1/1/25 7:20,Voicemail,NA
35,10,1/3/25 18:33,Voicemail,NA
36,11,1/1/25 8:02,Voicemail,NA
37,11,1/2/25 11:52,Talked to Customer,Phil
38,11,1/7/25 11:37,Talked to Customer,Vivian
39,11,1/8/25 4:20,Voicemail,NA
40,12,1/1/25 8:16,Voicemail,NA
41,12,1/1/25 14:18,Talked to Customer,Carlton
42,12,1/5/25 7:18,Voicemail,NA
43,13,1/1/25 8:30,Talked to Customer,Geoffrey
44,13,1/2/25 5:08,Voicemail,NA
45,13,1/3/25 14:43,Voicemail,NA
46,14,1/1/25 8:38,Voicemail,NA
47,14,1/1/25 22:16,Voicemail,NA
48,14,1/5/25 23:43,Talked to Customer,Hillary
49,14,1/6/25 9:09,Talked to Customer,Hillary
50,15,1/1/25 8:45,Talked to Customer,Vivian
51,15,1/3/25 18:41,Voicemail,NA
52,15,1/6/25 10:26,Talked to Customer,Carlton
53,15,1/8/25 0:41,Voicemail,NA
54,15,1/12/25 14:52,Talked to Customer,Carlton
55,16,1/1/25 8:51,Voicemail,NA
56,16,1/6/25 5:25,Voicemail,NA
57,16,1/6/25 8:32,Voicemail,NA
58,17,1/1/25 9:10,Talked to Customer,Vivian
59,17,1/5/25 9:08,Talked to Customer,Vivian
60,17,1/5/25 23:56,Voicemail,NA
61,17,1/8/25 8:16,Talked to Customer,Carlton
