sale_id,customer_id,sale_date,amount
1,2,1/4/2025 12:45:00,"$232,562.00"
2,3,1/5/2025 14:00:00,"$473,272.00"
3,7,1/13/2025 13:01:00,"$280,980.00"
4,15,1/12/2025 14:52:00,"$500,904.00"
5,17,1/8/2025 8:16:00,"$247,848.00"
6,19,1/4/2025 23:58:00,"$399,207.00"
7,20,1/4/2025 17:19:00,"$237,885.00"
8,28,1/1/2025 11:54:00,"$283,363.00"
9,31,1/8/2025 16:46:00,"$278,547.00"
10,33,1/7/2025 13:18:00,"$288,415.00"
11,39,1/9/2025 9:16:00,"$398,378.00"
12,40,1/9/2025 5:34:00,"$353,698.00"
13,42,1/9/2025 8:25:00,"$509,724.00"
14,43,1/8/2025 13:08:00,"$334,654.00"
15,44,1/5/2025 11:11:00,"$446,341.00"
16,57,1/14/2025 15:20:00,"$297,966.00"
17,59,1/2/2025 17:52:00,"$509,840.00"
18,62,1/8/2025 15:38:00,"$472,125.00"
19,63,1/13/2025 16:08:00,"$298,326.00"
20,64,1/8/2025 11:11:00,"$388,543.00"
21,66,1/10/2025 3:10:00,"$520,649.00"
22,69,1/11/2025 15:23:00,"$293,250.00"
23,72,1/4/2025 13:59:00,"$312,479.00"
24,76,1/6/2025 9:57:00,"$352,737.00"
25,81,1/7/2025 12:18:00,"$475,474.00"
26,84,1/2/2025 9:55:00,"$227,968.00"
27,87,1/3/2025 20:38:00,"$481,033.00"
28,91,1/4/2025 19:35:00,"$507,187.00"
29,94,1/7/2025 8:32:00,"$242,228.00"
30,101,1/5/2025 16:44:00,"$491,646.00"
31,103,1/8/2025 8:54:00,"$393,803.00"
32,104,1/11/2025 12:20:00,"$465,743.00"
33,116,1/14/2025 14:49:00,"$502,412.00"
34,117,1/5/2025 13:58:00,"$452,733.00"
35,134,1/9/2025 9:21:00,"$226,326.00"
36,138,1/9/2025 14:36:00,"$336,537.00"
37,141,1/8/2025 17:11:00,"$413,145.00"
38,142,1/6/2025 15:17:00,"$434,615.00"
39,151,1/9/2025 10:44:00,"$381,553.00"
40,156,1/11/2025 9:11:00,"$280,602.00"
41,160,1/7/2025 11:51:00,"$370,095.00"
42,161,1/4/2025 15:23:00,"$466,824.00"
43,163,1/6/2025 9:13:00,"$353,433.00"
44,167,1/18/2025 9:23:00,"$353,608.00"
45,172,1/9/2025 13:21:00,"$378,528.00"
46,176,1/2/2025 17:24:00,"$379,053.00"
47,184,1/9/2025 17:44:00,"$262,518.00"
48,198,1/7/2025 12:33:00,"$352,270.00"
49,199,1/7/2025 8:24:00,"$471,236.00"
50,201,1/6/2025 13:40:00,"$328,632.00"
51,203,1/8/2025 9:00:00,"$486,105.00"
52,206,1/6/2025 16:21:00,"$458,835.00"
53,208,1/5/2025 6:20:00,"$477,021.00"
54,211,1/11/2025 14:24:00,"$258,110.00"
55,218,1/4/2025 13:22:00,"$327,781.00"
56,223,1/6/2025 9:53:00,"$413,138.00"
57,224,1/6/2025 12:40:00,"$293,951.00"
58,226,1/7/2025 9:02:00,"$278,589.00"
59,232,1/6/2025 6:24:00,"$385,257.00"
60,233,1/9/2025 16:24:00,"$486,482.00"
61,237,1/7/2025 12:03:00,"$245,001.00"
62,239,1/6/2025 10:32:00,"$421,407.00"
63,242,1/6/2025 14:07:00,"$287,169.00"
64,244,1/6/2025 16:32:00,"$367,114.00"
65,245,1/13/2025 17:12:00,"$353,129.00"
66,246,1/8/2025 11:22:00,"$385,042.00"
67,247,1/6/2025 17:29:00,"$325,012.00"
68,254,1/14/2025 16:05:00,"$438,603.00"
69,258,1/2/2025 17:02:00,"$387,853.00"
70,260,1/7/2025 6:50:00,"$368,918.00"
71,267,1/14/2025 9:51:00,"$418,420.00"
72,272,1/11/2025 11:45:00,"$260,148.00"
73,276,1/5/2025 14:24:00,"$469,859.00"
74,278,1/12/2025 13:38:00,"$322,812.00"
75,279,1/11/2025 13:43:00,"$424,735.00"
76,283,1/4/2025 13:21:00,"$318,623.00"
77,284,1/7/2025 16:08:00,"$358,452.00"
78,286,1/11/2025 14:58:00,"$291,705.00"
79,291,1/9/2025 14:59:00,"$383,983.00"
80,292,1/4/2025 17:27:00,"$287,762.00"
81,297,1/12/2025 17:44:00,"$410,750.00"
82,300,1/8/2025 23:59:00,"$306,251.00"
83,301,1/11/2025 17:56:00,"$447,421.00"
84,303,1/12/2025 10:32:00,"$234,469.00"
85,305,1/16/2025 12:07:00,"$510,321.00"
86,307,1/8/2025 16:47:00,"$297,712.00"
87,308,1/3/2025 21:14:00,"$425,880.00"
88,315,1/8/2025 12:18:00,"$326,309.00"
89,322,1/4/2025 9:57:00,"$495,133.00"
90,324,1/4/2025 9:08:00,"$238,409.00"
91,329,1/8/2025 1:56:00,"$409,040.00"
92,330,1/4/2025 5:01:00,"$469,006.00"
93,335,1/14/2025 13:42:00,"$382,211.00"
94,344,1/9/2025 9:57:00,"$272,765.00"
95,345,1/9/2025 11:34:00,"$395,188.00"
96,355,1/8/2025 13:54:00,"$321,197.00"
97,361,1/12/2025 13:29:00,"$291,030.00"
98,364,1/5/2025 14:59:00,"$345,194.00"
99,366,1/19/2025 21:45:00,"$308,126.00"
100,369,1/11/2025 17:52:00,"$310,848.00"
101,375,1/6/2025 7:30:00,"$447,717.00"
102,387,1/13/2025 5:42:00,"$519,571.00"
103,390,1/7/2025 17:50:00,"$376,932.00"
104,394,1/7/2025 12:55:00,"$246,319.00"
105,401,1/9/2025 17:54:00,"$437,611.00"
106,405,1/11/2025 10:06:00,"$495,823.00"
107,406,1/15/2025 14:11:00,"$250,220.00"
108,409,1/9/2025 12:52:00,"$443,605.00"
109,411,1/7/2025 13:51:00,"$326,599.00"
110,418,1/15/2025 14:57:00,"$351,745.00"
111,420,1/4/2025 13:56:00,"$246,071.00"
112,423,1/14/2025 3:31:00,"$367,010.00"
113,427,1/6/2025 10:28:00,"$232,409.00"
114,429,1/4/2025 15:00:00,"$252,247.00"
115,434,1/11/2025 11:08:00,"$310,966.00"
116,436,1/19/2025 12:59:00,"$317,047.00"
117,443,1/12/2025 10:36:00,"$336,395.00"
118,449,1/11/2025 18:09:00,"$282,794.00"
119,458,1/13/2025 18:44:00,"$481,895.00"
120,462,1/16/2025 8:18:00,"$349,160.00"
121,464,1/16/2025 9:56:00,"$314,378.00"
122,469,1/18/2025 13:03:00,"$358,166.00"
123,471,1/6/2025 14:50:00,"$415,837.00"
124,472,1/13/2025 11:19:00,"$485,749.00"
125,477,1/6/2025 6:48:00,"$331,994.00"
126,482,1/11/2025 12:52:00,"$227,618.00"
127,487,1/9/2025 15:47:00,"$267,425.00"
128,488,1/12/2025 17:04:00,"$347,040.00"
129,491,1/11/2025 10:20:00,"$340,233.00"
130,494,1/15/2025 11:02:00,"$375,675.00"
131,496,1/5/2025 14:02:00,"$438,830.00"
132,500,1/8/2025 10:08:00,"$262,522.00"
133,501,1/9/2025 16:12:00,"$458,821.00"
134,504,1/16/2025 20:23:00,"$361,096.00"
135,505,1/5/2025 5:51:00,"$338,982.00"
136,508,1/16/2025 10:56:00,"$366,888.00"
137,510,1/7/2025 17:42:00,"$497,096.00"
138,512,1/18/2025 14:05:00,"$347,235.00"
139,514,1/9/2025 16:59:00,"$470,879.00"
140,515,1/13/2025 11:06:00,"$267,780.00"
141,523,1/11/2025 11:20:00,"$302,278.00"
142,526,1/4/2025 14:39:00,"$275,947.00"
143,527,1/15/2025 8:38:00,"$280,806.00"
144,533,1/15/2025 17:21:00,"$346,596.00"
145,534,1/9/2025 8:31:00,"$433,359.00"
146,544,1/18/2025 18:14:00,"$404,196.00"
147,547,1/13/2025 12:25:00,"$324,082.00"
148,548,1/16/2025 10:42:00,"$402,609.00"
149,552,1/10/2025 5:26:00,"$250,315.00"
150,560,1/11/2025 13:12:00,"$366,332.00"
151,562,1/8/2025 13:52:00,"$250,348.00"
152,569,1/11/2025 15:24:00,"$495,770.00"
